ordernumber,order_date,ship_date,customer_name_index,channel,currency_code,warehouse_code,delivery_region_index,product_description_index,order_quantity,unit_selling_price,unit_cost,sales,total_cost,profit
SO - 0001219,05-01-2017,20-01-2017,20,Wholesale,NZD,AXW291,54,7,5,180.9,130.248,904.5,651.24,253.26
SO - 0004448,12-01-2017,21-01-2017,44,Wholesale,NZD,AXW291,64,7,11,3845.8,2615.144,42303.8,28766.584,13537.216
SO - 0002409,17-01-2017,29-01-2017,6,Wholesale,NZD,AXW291,51,7,9,1105.5,773.85,9949.5,6964.65,2984.85
SO - 0003600,19-01-2017,06-02-2017,45,Wholesale,NZD,AXW291,55,7,5,207.7,145.39,1038.5,726.95,311.55
SO - 0004807,19-01-2017,04-02-2017,14,Wholesale,NZD,AXW291,20,7,10,1005,582.9,10050,5829,4221
SO - 0008076,30-01-2017,09-02-2017,46,Wholesale,NZD,AXW291,41,7,5,1038.5,664.64,5192.5,3323.2,1869.3
SO - 0007429,31-01-2017,10-02-2017,34,Wholesale,NZD,AXW291,42,7,6,3966.4,2974.8,23798.4,17848.8,5949.6
SO - 0007424,14-02-2017,27-02-2017,6,Wholesale,NZD,AXW291,33,7,7,730.3,496.604,5112.1,3476.228,1635.872
SO - 0005790,17-02-2017,24-02-2017,5,Wholesale,NZD,AXW291,90,7,5,2371.8,1565.388,11859,7826.94,4032.06
SO - 0004480,18-02-2017,27-02-2017,10,Wholesale,NZD,AXW291,39,7,7,3946.3,2920.262,27624.1,20441.834,7182.266
SO - 0006976,18-02-2017,22-02-2017,14,Wholesale,NZD,AXW291,94,7,9,5293,3334.59,47637,30011.31,17625.69
SO - 0003625,27-02-2017,07-03-2017,29,Wholesale,NZD,AXW291,62,7,10,1038.5,841.185,10385,8411.85,1973.15
SO - 000888,28-02-2017,04-03-2017,50,Wholesale,NZD,AXW291,51,7,11,174.2,80.132,1916.2,881.452,1034.748
SO - 0004011,01-03-2017,15-03-2017,13,Wholesale,NZD,AXW291,19,7,6,884.4,689.832,5306.4,4138.992,1167.408
SO - 0005004,05-03-2017,10-03-2017,6,Wholesale,NZD,AXW291,34,7,11,5768.7,4557.273,63455.7,50130.003,13325.697
SO - 0008001,05-03-2017,17-03-2017,11,Wholesale,NZD,AXW291,56,7,11,167.5,72.025,1842.5,792.275,1050.225
SO - 0004331,10-03-2017,20-03-2017,50,Wholesale,NZD,AXW291,2,7,7,1105.5,585.915,7738.5,4101.405,3637.095
SO - 0004023,13-03-2017,25-03-2017,11,Wholesale,NZD,AXW291,19,7,5,1775.5,1384.89,8877.5,6924.45,1953.05
SO - 0005092,19-03-2017,05-04-2017,20,Wholesale,NZD,AXW291,33,7,11,938,684.74,10318,7532.14,2785.86
SO - 0006521,19-03-2017,05-04-2017,45,Wholesale,NZD,AXW291,8,7,11,1072,536,11792,5896,5896
SO - 000659,21-03-2017,24-03-2017,29,Wholesale,NZD,AXW291,74,7,9,5427,3744.63,48843,33701.67,15141.33
SO - 0006326,23-03-2017,03-04-2017,42,Wholesale,NZD,AXW291,23,7,10,2800.6,1316.282,28006,13162.82,14843.18
