ordernumber,order_date,ship_date,customer_name_index,channel,currency_code,warehouse_code,delivery_region_index,product_description_index,order_quantity,unit_selling_price,unit_cost,sales,total_cost,profit
SO - 0001219,2017-01-05,2017-01-20,20,Wholesale,NZD,AXW291,54,7,5,180.9,130.248,904.5,651.24,253.26
SO - 0004448,2017-01-12,2017-01-21,44,Wholesale,NZD,AXW291,64,7,11,3845.8,2615.144,42303.8,28766.584000000003,13537.216
SO - 0002409,2017-01-17,2017-01-29,6,Wholesale,NZD,AXW291,51,7,9,1105.5,773.8499999999998,9949.5,6964.65,2984.8500000000004
SO - 0003600,2017-01-19,2017-02-06,45,Wholesale,NZD,AXW291,55,7,5,207.7,145.39,1038.5,726.95,311.54999999999995
SO - 0004807,2017-01-19,2017-02-04,14,Wholesale,NZD,AXW291,20,7,10,1005.0,582.9,10050.0,5829.0,4221.0
SO - 0008076,2017-01-30,2017-02-09,46,Wholesale,NZD,AXW291,41,7,5,1038.5,664.64,5192.5,3323.2,1869.3
SO - 0007429,2017-01-31,2017-02-10,34,Wholesale,NZD,AXW291,42,7,6,3966.4,2974.8,23798.4,17848.800000000003,5949.599999999999
SO - 0007424,2017-02-14,2017-02-27,6,Wholesale,NZD,AXW291,33,7,7,730.3,496.6040000000001,5112.1,3476.2280000000005,1635.8719999999998
SO - 0005790,2017-02-17,2017-02-24,5,Wholesale,NZD,AXW291,90,7,5,2371.8,1565.388,11859.0,7826.94,4032.06
SO - 0004480,2017-02-18,2017-02-27,10,Wholesale,NZD,AXW291,39,7,7,3946.3,2920.262,27624.1,20441.834000000003,7182.266
SO - 0006976,2017-02-18,2017-02-22,14,Wholesale,NZD,AXW291,94,7,9,5293.0,3334.59,47637.0,30011.31,17625.69
SO - 0003625,2017-02-27,2017-03-07,29,Wholesale,NZD,AXW291,62,7,10,1038.5,841.185,10385.0,8411.85,1973.15
SO - 000888,2017-02-28,2017-03-04,50,Wholesale,NZD,AXW291,51,7,11,174.20000000000002,80.132,1916.2000000000005,881.452,1034.7480000000005
SO - 0004011,2017-03-01,2017-03-15,13,Wholesale,NZD,AXW291,19,7,6,884.4,689.832,5306.4,4138.992,1167.4079999999994
SO - 0005004,2017-03-05,2017-03-10,6,Wholesale,NZD,AXW291,34,7,11,5768.7,4557.273,63455.7,50130.003,13325.696999999993
SO - 0008001,2017-03-05,2017-03-17,11,Wholesale,NZD,AXW291,56,7,11,167.5,72.025,1842.5,792.2750000000002,1050.225
SO - 0004331,2017-03-10,2017-03-20,50,Wholesale,NZD,AXW291,2,7,7,1105.5,585.9150000000001,7738.5,4101.405000000001,3637.0949999999993
SO - 0004023,2017-03-13,2017-03-25,11,Wholesale,NZD,AXW291,19,7,5,1775.5,1384.89,8877.5,6924.450000000001,1953.0499999999995
SO - 0005092,2017-03-19,2017-04-05,20,Wholesale,NZD,AXW291,33,7,11,938.0,684.74,10318.0,7532.14,2785.86
SO - 0006521,2017-03-19,2017-04-05,45,Wholesale,NZD,AXW291,8,7,11,1072.0,536.0,11792.0,5896.0,5896.0
SO - 000659,2017-03-21,2017-03-24,29,Wholesale,NZD,AXW291,74,7,9,5427.0,3744.63,48843.0,33701.67,15141.330000000002
SO - 0006326,2017-03-23,2017-04-03,42,Wholesale,NZD,AXW291,23,7,10,2800.6,1316.282,28006.0,13162.82,14843.18
SO - 0003881,2017-03-24,2017-04-04,40,Wholesale,NZD,AXW291,21,7,10,857.6,651.7760000000001,8576.0,6517.76,2058.24
SO - 0002266,2017-03-26,2017-04-13,16,Wholesale,NZD,AXW291,68,7,6,1829.1,804.8040000000002,10974.6,4828.8240000000005,6145.776
SO - 0004585,2017-03-28,2017-04-08,8,Wholesale,NZD,AXW291,80,7,6,3966.4,2141.856,23798.4,12851.136000000002,10947.264
SO - 0003583,2017-03-29,2017-04-01,19,Wholesale,NZD,AXW291,4,7,10,261.3,167.232,2613.0,1672.32,940.68
SO - 0001894,2017-03-31,2017-04-12,37,Wholesale,NZD,AXW291,32,7,10,1092.1,666.181,10921.000000000002,6661.81,4259.190000000001
SO - 000258,2017-04-07,2017-04-21,28,Wholesale,NZD,AXW291,6,7,11,2385.2000000000003,1502.6760000000002,26237.200000000004,16529.436,9707.764000000003
SO - 0002498,2017-04-14,2017-04-29,30,Wholesale,NZD,AXW291,40,7,9,1909.5,1413.03,17185.5,12717.27,4468.23
SO - 0004584,2017-04-19,2017-04-29,18,Wholesale,NZD,AXW291,60,7,10,187.6,91.924,1876.0,919.24,956.76
SO - 0006036,2017-04-20,2017-05-04,1,Wholesale,NZD,AXW291,25,7,7,201.0,120.6,1407.0,844.1999999999998,562.8000000000001
SO - 0004953,2017-05-03,2017-05-13,27,Wholesale,NZD,AXW291,95,7,10,1145.7,458.28,11457.0,4582.8,6874.2
SO - 0005267,2017-05-11,2017-05-22,21,Wholesale,NZD,AXW291,96,7,6,2345.0,1195.95,14070.0,7175.700000000001,6894.299999999999
SO - 0004948,2017-05-14,2017-05-26,13,Wholesale,NZD,AXW291,89,7,5,3953.0,2648.51,19765.0,13242.55,6522.449999999999
SO - 0005592,2017-05-15,2017-05-20,27,Wholesale,NZD,AXW291,90,7,9,1098.8,922.992,9889.2,8306.928,1582.271999999999
SO - 0002975,2017-05-17,2017-05-28,8,Wholesale,NZD,AXW291,39,7,7,2324.9,1371.691,16274.3,9601.837,6672.463000000002
SO - 0006224,2017-05-18,2017-05-21,49,Wholesale,NZD,AXW291,87,7,6,891.1,605.9480000000001,5346.6,3635.688000000001,1710.9119999999998
SO - 0001882,2017-05-27,2017-06-07,18,Wholesale,NZD,AXW291,85,7,12,1038.5,768.49,12462.0,9221.88,3240.119999999999
SO - 0003896,2017-05-27,2017-06-01,39,Wholesale,NZD,AXW291,22,7,8,3725.2,2644.8920000000003,29801.6,21159.136,8642.464
SO - 0004694,2017-06-01,2017-06-14,40,Wholesale,NZD,AXW291,83,7,12,1728.6,1279.164,20743.2,15349.968,5393.232
SO - 0005761,2017-06-04,2017-06-12,34,Wholesale,NZD,AXW291,4,7,7,1078.7,862.96,7550.9000000000015,6040.72,1510.1800000000003
SO - 000964,2017-06-06,2017-06-20,20,Wholesale,NZD,AXW291,1,7,10,268.0,123.28,2680.0,1232.8,1447.2
SO - 0002326,2017-06-07,2017-06-20,31,Wholesale,NZD,AXW291,18,7,9,3035.1,1578.252,27315.9,14204.268,13111.631999999998
SO - 0004364,2017-06-09,2017-06-18,20,Wholesale,NZD,AXW291,9,7,5,1876.0,1050.5600000000002,9380.0,5252.800000000001,4127.199999999999
SO - 0005188,2017-06-09,2017-06-17,12,Wholesale,NZD,AXW291,82,7,7,3926.2,2002.362,27483.4,14016.534,13466.866000000002
SO - 000620,2017-06-14,2017-07-02,23,Wholesale,NZD,AXW291,100,7,11,2405.3,1635.6040000000005,26458.300000000003,17991.644000000004,8466.655999999999
SO - 0006331,2017-06-15,2017-06-30,26,Wholesale,NZD,AXW291,38,7,5,1078.7,571.711,5393.5,2858.5550000000003,2534.945
