Date,Year,Quarter,Quarter No,Month No,Month Name,Month Short Name,Month Short Name Plus Year,DateSort,Day Name,Details,Day Number,Month Sort
2017-01-01 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170101","Sunday","01-Jan-2017",1,"201701"
2017-01-02 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170102","Monday","02-Jan-2017",2,"201701"
2017-01-03 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170103","Tuesday","03-Jan-2017",3,"201701"
2017-01-04 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170104","Wednesday","04-Jan-2017",4,"201701"
2017-01-05 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170105","Thursday","05-Jan-2017",5,"201701"
2017-01-06 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170106","Friday","06-Jan-2017",6,"201701"
2017-01-07 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170107","Saturday","07-Jan-2017",7,"201701"
2017-01-08 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170108","Sunday","08-Jan-2017",8,"201701"
2017-01-09 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170109","Monday","09-Jan-2017",9,"201701"
2017-01-10 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170110","Tuesday","10-Jan-2017",10,"201701"
2017-01-11 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170111","Wednesday","11-Jan-2017",11,"201701"
2017-01-12 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170112","Thursday","12-Jan-2017",12,"201701"
2017-01-13 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170113","Friday","13-Jan-2017",13,"201701"
2017-01-14 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170114","Saturday","14-Jan-2017",14,"201701"
2017-01-15 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170115","Sunday","15-Jan-2017",15,"201701"
2017-01-16 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170116","Monday","16-Jan-2017",16,"201701"
2017-01-17 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170117","Tuesday","17-Jan-2017",17,"201701"
2017-01-18 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170118","Wednesday","18-Jan-2017",18,"201701"
2017-01-19 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170119","Thursday","19-Jan-2017",19,"201701"
2017-01-20 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170120","Friday","20-Jan-2017",20,"201701"
2017-01-21 00:00:00.000,2017,"Q1",1,1,"January","Jan","Jan,17","20170121","Saturday","21-Jan-2017",21,"201701"
