OrderNumber,Order_Date,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Selling Price,Unit Cost,Sales,Total Cost,Profit
"SO - 0001219",2017-01-05 00:00:00.000,2017-01-20 00:00:00.000,20,"Wholesale","NZD","AXW291",54,7,5,180.9,130.248,904.5,651.24,253.26
"SO - 0004448",2017-01-12 00:00:00.000,2017-01-21 00:00:00.000,44,"Wholesale","NZD","AXW291",64,7,11,3845.8,2615.1440000000002,42303.8,28766.584000000003,13537.216
"SO - 0002409",2017-01-17 00:00:00.000,2017-01-29 00:00:00.000,6,"Wholesale","NZD","AXW291",51,7,9,1105.5,773.84999999999991,9949.5,6964.65,2984.8500000000004
"SO - 0003600",2017-01-19 00:00:00.000,2017-02-06 00:00:00.000,45,"Wholesale","NZD","AXW291",55,7,5,207.70000000000002,145.39000000000001,1038.5,726.95,311.54999999999995
"SO - 0004807",2017-01-19 00:00:00.000,2017-02-04 00:00:00.000,14,"Wholesale","NZD","AXW291",20,7,10,1005,582.9,10050,5829,4221
"SO - 0008076",2017-01-30 00:00:00.000,2017-02-09 00:00:00.000,46,"Wholesale","NZD","AXW291",41,7,5,1038.5,664.64,5192.5,3323.2,1869.3000000000002
"SO - 0007429",2017-01-31 00:00:00.000,2017-02-10 00:00:00.000,34,"Wholesale","NZD","AXW291",42,7,6,3966.4,2974.8,23798.4,17848.800000000003,5949.5999999999985
"SO - 0007424",2017-02-14 00:00:00.000,2017-02-27 00:00:00.000,6,"Wholesale","NZD","AXW291",33,7,7,730.30000000000007,496.6040000000001,5112.1,3476.2280000000005,1635.8719999999998
"SO - 0005790",2017-02-17 00:00:00.000,2017-02-24 00:00:00.000,5,"Wholesale","NZD","AXW291",90,7,5,2371.8,1565.3880000000001,11859,7826.9400000000005,4032.0599999999995
"SO - 0004480",2017-02-18 00:00:00.000,2017-02-27 00:00:00.000,10,"Wholesale","NZD","AXW291",39,7,7,3946.3,2920.262,27624.100000000002,20441.834000000003,7182.266
"SO - 0006976",2017-02-18 00:00:00.000,2017-02-22 00:00:00.000,14,"Wholesale","NZD","AXW291",94,7,9,5293,3334.59,47637,30011.31,17625.69
"SO - 0003625",2017-02-27 00:00:00.000,2017-03-07 00:00:00.000,29,"Wholesale","NZD","AXW291",62,7,10,1038.5,841.18500000000006,10385,8411.85,1973.1499999999996
"SO - 000888",2017-02-28 00:00:00.000,2017-03-04 00:00:00.000,50,"Wholesale","NZD","AXW291",51,7,11,174.20000000000002,80.132,1916.2000000000003,881.452,1034.7480000000003
"SO - 0004011",2017-03-01 00:00:00.000,2017-03-15 00:00:00.000,13,"Wholesale","NZD","AXW291",19,7,6,884.4,689.832,5306.4,4138.992,1167.4079999999994
"SO - 0005004",2017-03-05 00:00:00.000,2017-03-10 00:00:00.000,6,"Wholesale","NZD","AXW291",34,7,11,5768.7,4557.273,63455.7,50130.003000000004,13325.696999999993
